NERs,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01
#coronavirus,0.0011305689747718734,0.000495820937809888,0.00047312641937925814,0.0010294117647058824,0.005037579806578486,0.0013665914126844766,0.0006830601092896175,8.171937566396992e-05,0.0012404149751917002,7.682261657832066e-05,0.0006012777151446825,0.0005646630236794171,0.0017036450079239303,,0.0004984593075947072,0.0004846073405259265,,,0.001202565473009086,0.0005462628089210368,0.003540305010893246,0.0010686297791498457,0.0003729951510630362,0.0003396948922240751,4.812319538017324e-05,0.00047953964194373403,0.0006335988414192614,0.00019428793471925395,,,6.929046563192905e-05,0.0002077274615704196,0.0004912866147571376,0.0004334451901565996,0.001483753151114553
#coronavirus #toi,6.709608158883521e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#covid19,6.709608158883521e-05,4.2498937526561835e-05,0.00031091164702065535,0.000261437908496732,,0.0001463271875914545,0.00017076502732240437,,0.0002255299954894001,0.00023046784973496196,,0.0001092896174863388,0.0009244585314315901,0.0004457411459599643,,0.0006695232994108195,0.0003688222276862552,0.0009742368478025547,0.0011580260110457868,0.00011301989150090416,0.0002723311546840959,0.00011873664212776063,,0.00037057624606262737,0.00019249278152069297,,0.00018102824040550325,,0.0002967711301044634,0.000608939227865059,0.00025406504065040653,3.462124359506993e-05,0.00013904338153503893,8.389261744966443e-05,0.00041684035014589413
#data,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#dismalscience,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#echofirst L-,6.709608158883521e-05,,,,,7.316359379572725e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#emergency #Management,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#family #homebaking - #mum's,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#instafoodie,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#kiwis,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#nancynicolson,5.032206119162641e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#scomo,0.00020128824476650564,0.00010624734381640459,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019784742006964228,,,,,,
#techsafety,6.709608158883521e-05,7.083156254426973e-05,,,,,,,7.517666516313335e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
#viralmarketing,0.00010064412238325282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.00020128824476650564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7NewsAustralia,0.00010064412238325282,0.0002833262501770789,,0.000196078431372549,0.00018857250612860644,,,,,,,0.0001092896174863388,8.804366966015142e-05,,,0.0002678093197643278,,,,,0.0002723311546840959,5.9368321063880314e-05,,,,,,,,0.00018268176835951772,6.929046563192905e-05,,,,
